ID,A1,A2,A3,B1,B2,B3,D1,D2,D3,e1,e2,e3,e12,e13,e23,eI,eII,eIII
145,-0.25,0,0,-0.3125,0.5,0.5,-0.484375,-0.375,0,-0.160865857,9.262678359,-2.408634317,-0.322060619,0.913086787,-0.154268082,9.283354753,-0.161499017,-2.428677552
146,0,0,0.5,0.0625,-0.0625,0.75,0.046875,0.140625,0.125,3.704765404,-0.005578531,-0.855327935,0.46496958,0.030250301,-1.188867936,3.794740777,-0.017173871,-0.933707969
147,-0.125,0.125,-0.25,-0.09375,0.46875,-0.4375,-0.2890625,0.2890625,0.171875,-0.189531399,5.918314855,-1.406517216,-1.282232151,-1.211584131,0.200353552,6.643178674,-1.167232506,-1.562911853
148,-0.125,-0.125,0.25,0.15625,0.15625,0.6875,-0.2421875,-0.2421875,0.296875,-0.065893834,4.636732119,-1.157112233,-1.567326981,0.730793327,-0.056376903,4.786326719,-0.192098319,-1.180502347
149,-0.125,-0.125,-0.25,-0.34375,-0.46875,0.0625,-0.0078125,-0.1015625,-0.390625,1.806972832,4.339235893,-1.460245394,7.423218485,-0.849440901,-1.564148479,7.07001409,-0.674517499,-1.70953326
150,0,0,0,0.375,0.25,-0.5,-0.28125,0,-0.1875,-0.121867187,6.128725363,-1.534834319,-0.989123037,-1.086819957,0.142036224,5.478354192,-0.395338319,-1.190113209
151,0,0,0,0.5625,-0.1875,0.375,0.28125,0.1875,0.1875,3.56093864,1.737074645,-1.248988676,-7.130435188,-0.384138211,0.0113223,5.905738401,-0.672589957,-1.249862325
152,-0.125,-0.125,0.25,-0.40625,0.09375,0.5625,0.0859375,-0.1015625,0.578125,-0.02810576,5.939917028,-1.515577807,-0.771455889,1.024210605,-0.012076525,5.99955016,-0.05245388,-1.550862819
153,0.375,0.125,0.25,0.15625,0.09375,-0.5625,0.2109375,0.1015625,0.578125,-0.061940272,3.666266057,-0.919831532,-0.495596332,-0.617342639,0.070080896,3.3760946,-0.194333791,-0.763867339
154,0.375,0.125,0.25,0.46875,-0.09375,0.3125,0.3515625,0.3359375,0.296875,2.262983326,1.337947524,-0.85593261,-4.703820559,-0.312809412,0.146378516,3.867320134,-0.416390406,-0.80811896
